epoch,step,train_mse,tuning_dockq_mae,tuning_hit_rate_023,tuning_rank_regret,tuning_rank_spearman,val_loss,val_pearson_corr,val_rank_regret,val_rank_spearman,val_spearman_corr
0,22,,0.3630719482898712,0.6690821051597595,0.14953981339931488,-0.06399042159318924,0.15034019947052002,0.3694342374801636,0.13208340108394623,-0.4444444477558136,0.40530186891555786
0,22,0.14246000349521637,,,,,,,,,
1,45,,0.36252841353416443,0.6719806790351868,0.14346562325954437,-0.037437088787555695,0.1401042640209198,0.3781350255012512,0.19652339816093445,-0.7222222089767456,0.40716302394866943
1,45,0.14494846761226654,,,,,,,,,
2,68,,0.36087700724601746,0.6714975833892822,0.14334824681282043,-0.05393601581454277,0.13868729770183563,0.38535812497138977,0.19634778797626495,-0.4444444477558136,0.4203757643699646
2,68,0.14618180692195892,,,,,,,,,
3,91,,0.33194079995155334,0.6719806790351868,0.13070227205753326,-0.036293137818574905,0.11972346901893616,0.45687469840049744,0.03962346911430359,0.2222222238779068,0.4484611749649048
3,91,0.1284976750612259,,,,,,,,,
4,114,,0.312165766954422,0.6743961572647095,0.12526002526283264,-0.012621900998055935,0.11241790652275085,0.49855944514274597,0.03592437133193016,0.5,0.4805539846420288
4,114,0.1270795315504074,,,,,,,,,
5,137,,0.2948979437351227,0.6787439584732056,0.11562097817659378,-0.040744196623563766,0.11621434986591339,0.47044509649276733,0.0979088544845581,0.5555555820465088,0.48347151279449463
5,137,0.10749878734350204,,,,,,,,,
6,160,,0.26984313130378723,0.6830917596817017,0.11722506582736969,-0.05184854567050934,0.10870268195867538,0.5164350271224976,0.03310394659638405,0.5555555820465088,0.5186327695846558
6,160,0.10687800496816635,,,,,,,,,
7,183,,0.26372745633125305,0.6835748553276062,0.12462936341762543,-0.06828656047582626,0.10570491850376129,0.5108031034469604,0.02892453968524933,0.4444444477558136,0.5136361122131348
7,183,0.08685621619224548,,,,,,,,,
8,206,,0.2478000819683075,0.6840579509735107,0.10269756615161896,-0.01746598444879055,0.10487600415945053,0.536506712436676,0.02892453968524933,0.5,0.5239648222923279
8,206,0.09847287088632584,,,,,,,,,
9,229,,0.2477303445339203,0.6830917596817017,0.1076180562376976,-0.05876482278108597,0.10226423293352127,0.5351123213768005,0.02874894253909588,0.6666666865348816,0.5422915816307068
9,229,0.10013305395841599,,,,,,,,,
10,252,,0.24809767305850983,0.6826087236404419,0.11652064323425293,-0.08626260608434677,0.11253809183835983,0.5376496911048889,0.02874894253909588,0.6666666865348816,0.5611046552658081
10,252,0.08980301767587662,,,,,,,,,
11,275,,0.2339807152748108,0.6826087236404419,0.11398158222436905,-0.06883279234170914,0.1027427390217781,0.5365286469459534,0.02874894253909588,0.6666666865348816,0.5538443326950073
11,275,0.09844490885734558,,,,,,,,,
12,298,,0.23346102237701416,0.6835748553276062,0.12374752014875412,-0.11322899907827377,0.10725978761911392,0.5201035141944885,0.02874894253909588,0.6666666865348816,0.543901264667511
12,298,0.0873563215136528,,,,,,,,,
13,321,,0.25006788969039917,0.6840579509735107,0.1216694787144661,-0.12415801733732224,0.09905457496643066,0.5553972125053406,0.02874894253909588,0.7777777910232544,0.5812423229217529
13,321,0.09559141099452972,,,,,,,,,
14,344,,0.24688957631587982,0.6864734292030334,0.12347039580345154,-0.11222274601459503,0.10076765716075897,0.5732128024101257,0.02892453968524933,0.5,0.590481162071228
14,344,0.10092464834451675,,,,,,,,,
15,367,,0.25206294655799866,0.6855072379112244,0.12898904085159302,-0.148061141371727,0.10101157426834106,0.561522901058197,0.02892453968524933,0.5555555820465088,0.5771343111991882
15,367,0.13254591822624207,,,,,,,,,
16,390,,0.3186666965484619,0.6845410466194153,0.11590459942817688,0.010397695936262608,0.12853416800498962,0.40314793586730957,0.02874894253909588,0.7222222089767456,0.561205267906189
16,390,0.12777218222618103,,,,,,,,,
17,413,,0.2568102478981018,0.6840579509735107,0.11998885869979858,-0.0945645198225975,0.0962383821606636,0.576117753982544,0.02874894253909588,0.7777777910232544,0.5713663101196289
17,413,0.08903828263282776,,,,,,,,,
18,436,,0.22406625747680664,0.6835748553276062,0.12444914132356644,-0.12431411445140839,0.10962128639221191,0.5604896545410156,0.02874894253909588,0.7222222089767456,0.5646257996559143
18,436,0.08627725392580032,,,,,,,,,
19,459,,0.23313069343566895,0.6840579509735107,0.12873351573944092,-0.13402341306209564,0.09184873849153519,0.5933406949043274,0.02874894253909588,0.7222222089767456,0.581963300704956
19,459,0.08605562150478363,,,,,,,,,
20,482,,0.23543481528759003,0.6850241422653198,0.13204039633274078,-0.1325364112854004,0.09739336371421814,0.5597565174102783,0.02892453968524933,0.4444444477558136,0.5745185613632202
20,482,0.0628897100687027,,,,,,,,,
21,505,,0.30001091957092285,0.6845410466194153,0.13227400183677673,-0.11979358643293381,0.11146631836891174,0.5288436412811279,0.02874894253909588,0.7222222089767456,0.5677948594093323
