epoch,step,train_mse,val_loss,val_pearson_corr,val_spearman_corr
58,2005,,0.05815262347459793,0.7788200974464417,0.7001153826713562
58,2005,0.04790943115949631,,,
59,2039,,0.058314330875873566,0.7782512903213501,0.699783205986023
59,2039,0.04946022853255272,,,
60,2073,,0.058429885655641556,0.7780901789665222,0.6993111968040466
60,2073,0.045021772384643555,,,
61,2107,,0.05817493051290512,0.7787277698516846,0.7002814412117004
61,2107,0.04501613602042198,,,
62,2141,,0.05804992467164993,0.7790848016738892,0.7006972432136536
62,2141,0.04867725819349289,,,
63,2175,,0.0580865703523159,0.7789633870124817,0.7003874778747559
63,2175,0.04447692260146141,,,
64,2209,,0.0580599308013916,0.7790437340736389,0.700768768787384
64,2209,0.04599561169743538,,,
65,2243,,0.05797746777534485,0.7793640494346619,0.7009060978889465
65,2243,0.05077033489942551,,,
66,2277,,0.05795774236321449,0.7794625759124756,0.7009897828102112
66,2277,0.04325844347476959,,,
67,2311,,0.058006852865219116,0.7792868614196777,0.7006934285163879
67,2311,0.04241320863366127,,,
68,2345,,0.05804764851927757,0.7790974378585815,0.7009361386299133
68,2345,0.04374636709690094,,,
69,2379,,0.05803747475147247,0.7791264057159424,0.700630784034729
69,2379,0.04787348583340645,,,
70,2413,,0.05811823531985283,0.7789164781570435,0.7007962465286255
70,2413,0.04137919098138809,,,
71,2447,,0.05821464955806732,0.7786192297935486,0.7005011439323425
71,2447,0.04434952884912491,,,
72,2481,,0.05826713144779205,0.7784597277641296,0.700169026851654
72,2481,0.0439937487244606,,,
73,2515,,0.05828418210148811,0.7784287929534912,0.7001715898513794
73,2515,0.04076670855283737,,,
74,2549,,0.0582670196890831,0.7784874439239502,0.7002826929092407
74,2549,0.04132995009422302,,,
75,2583,,0.05826186388731003,0.778509259223938,0.7006646394729614
75,2583,0.042182791978120804,,,
76,2617,,0.05825699120759964,0.7785273790359497,0.7006352543830872
76,2617,0.049399372190237045,,,
77,2651,,0.058258820325136185,0.7785173654556274,0.7003912925720215
77,2651,0.05058462172746658,,,
78,2685,,0.05826761946082115,0.7784914374351501,0.7002711892127991
78,2685,0.040496159344911575,,,
79,2719,,0.058284614235162735,0.7784460783004761,0.7001587748527527
79,2719,0.03970973193645477,,,
80,2753,,0.05828307941555977,0.778451681137085,0.7001805305480957
80,2753,0.03999532014131546,,,
81,2787,,0.05827667936682701,0.7784705758094788,0.7002233266830444
81,2787,0.04959401860833168,,,
82,2821,,0.05827502906322479,0.778475821018219,0.7002233266830444
82,2821,0.05129445344209671,,,
83,2855,,0.05826956033706665,0.7784939408302307,0.7002233266830444
83,2855,0.05005406588315964,,,
84,2889,,0.05826667696237564,0.7785038948059082,0.7003139853477478
84,2889,0.043962445110082626,,,
85,2923,,0.05826300010085106,0.7785160541534424,0.7003139853477478
85,2923,0.042305443435907364,,,
86,2957,,0.058261919766664505,0.7785193920135498,0.7003139853477478
86,2957,0.04537505656480789,,,
87,2991,,0.0582590252161026,0.7785292267799377,0.7004379034042358
87,2991,0.04941888898611069,,,
88,3025,,0.058258604258298874,0.7785306572914124,0.7004379034042358
88,3025,0.04267556592822075,,,
