epoch,step,train_mse,tuning_rank_regret,tuning_rank_spearman,val_loss,val_pearson_corr,val_rank_regret,val_rank_spearman,val_spearman_corr
66,1540,,0.09360101073980331,0.261904776096344,0.07197688519954681,0.7475547194480896,0.02874894253909588,0.7777777910232544,0.7768006324768066
66,1540,0.05544302985072136,,,,,,,
67,1563,,0.08987880498170853,0.24047619104385376,0.06808827817440033,0.7641865611076355,0.02874894253909588,0.8333333134651184,0.7666563391685486
67,1563,0.09976663440465927,,,,,,,
68,1586,,0.10132037103176117,0.2739926874637604,0.157497838139534,0.6198168992996216,0.02874894253909588,0.7777777910232544,0.7684504389762878
68,1586,0.05873583257198334,,,,,,,
69,1609,,0.10060851275920868,0.31391942501068115,0.08098307251930237,0.7501561641693115,0.02874894253909588,0.7777777910232544,0.7721728086471558
69,1609,0.14279894530773163,,,,,,,
70,1632,,0.09233702719211578,0.3105006217956543,0.058006104081869125,0.7807437777519226,0.03292262181639671,0.6111111044883728,0.7723069190979004
70,1632,0.055289868265390396,,,,,,,
71,1655,,0.09615205228328705,0.26648351550102234,0.05098433792591095,0.798621416091919,0.007533732336014509,0.7222222089767456,0.7738662958145142
71,1655,0.05488209053874016,,,,,,,
72,1678,,0.09388578683137894,0.2647130787372589,0.05211491510272026,0.8014606237411499,0.004173681139945984,0.7222222089767456,0.7873640656471252
72,1678,0.05905028432607651,,,,,,,
73,1701,,0.09388578683137894,0.26312577724456787,0.05089597776532173,0.8046175837516785,0.005128771532326937,0.5555555820465088,0.7949597239494324
73,1701,0.06616674363613129,,,,,,,
74,1724,,0.09388578683137894,0.2411477416753769,0.05092007294297218,0.8004165887832642,0.02874894253909588,0.8333333134651184,0.7921428084373474
74,1724,0.06171410530805588,,,,,,,
75,1747,,0.09333821386098862,0.24188034236431122,0.05341274291276932,0.7929497361183167,0.02874894253909588,0.8333333134651184,0.7865089178085327
75,1747,0.06910130381584167,,,,,,,
76,1770,,0.09333821386098862,0.19804640114307404,0.05755576863884926,0.7778400182723999,0.000175596316694282,0.7222222089767456,0.7779911160469055
76,1770,0.0657208040356636,,,,,,,
77,1793,,0.09352512657642365,0.21599511802196503,0.061149705201387405,0.7744362950325012,0.03063032403588295,0.7777777910232544,0.7837590575218201
77,1793,0.04781998693943024,,,,,,,
78,1816,,0.09333821386098862,0.214407816529274,0.05641738325357437,0.7918547987937927,0.0,0.9444444179534912,0.7918074727058411
78,1816,0.06955136358737946,,,,,,,
79,1839,,0.09286888688802719,0.23528693616390228,0.07591141760349274,0.7839317321777344,0.004173681139945984,0.7222222089767456,0.8038129210472107
79,1839,0.0668240413069725,,,,,,,
80,1862,,0.09278994053602219,0.27130648493766785,0.05183262750506401,0.8105336427688599,0.004173681139945984,0.7222222089767456,0.8020423054695129
80,1862,0.07196415960788727,,,,,,,
81,1885,,0.09388578683137894,0.313614159822464,0.06907530874013901,0.7716906070709229,0.004173681139945984,0.7222222089767456,0.7918745279312134
81,1885,0.06694649159908295,,,,,,,
82,1908,,0.09388578683137894,0.29291820526123047,0.050201166421175,0.806304931640625,0.005128771532326937,0.5,0.7888898849487305
82,1908,0.05747867375612259,,,,,,,
83,1931,,0.0933113843202591,0.3203907310962677,0.05658126249909401,0.8048966526985168,0.004173681139945984,0.7222222089767456,0.7927128672599792
83,1931,0.050885431468486786,,,,,,,
84,1954,,0.10757283866405487,0.285897433757782,0.06091621518135071,0.8015670776367188,0.004173681139945984,0.7222222089767456,0.8013145923614502
84,1954,0.07544000446796417,,,,,,,
85,1977,,0.0935225635766983,0.3127594590187073,0.05699800327420235,0.8014938831329346,0.004173681139945984,0.7222222089767456,0.7989335656166077
85,1977,0.08763594925403595,,,,,,,
86,2000,,0.0933113843202591,0.3145909607410431,0.04841700568795204,0.8097666501998901,0.004173681139945984,0.7222222089767456,0.7973071336746216
86,2000,0.06375416368246078,,,,,,,
87,2023,,0.0933113843202591,0.32374846935272217,0.06639258563518524,0.773659348487854,0.004173681139945984,0.7222222089767456,0.7969885468482971
87,2023,0.06709522753953934,,,,,,,
88,2046,,0.09388578683137894,0.2730158865451813,0.04865388199687004,0.8104064464569092,0.004173681139945984,0.7222222089767456,0.7990006804466248
88,2046,0.04469243064522743,,,,,,,
89,2069,,0.0933113843202591,0.29139193892478943,0.05246734246611595,0.806315541267395,0.0,0.9444444179534912,0.7961837649345398
89,2069,0.05878521129488945,,,,,,,
90,2092,,0.0939461886882782,0.2769230902194977,0.05275111645460129,0.8083227276802063,0.004173681139945984,0.7222222089767456,0.8033769726753235
90,2092,0.06907424330711365,,,,,,,
91,2115,,0.09388578683137894,0.281440794467926,0.04939905181527138,0.8103736639022827,0.0009550903341732919,0.7777777910232544,0.8124648928642273
91,2115,0.057568397372961044,,,,,,,
92,2138,,0.08773438632488251,0.28504273295402527,0.05595170333981514,0.8049607276916504,0.005128771532326937,0.5,0.8029074668884277
92,2138,0.08131395280361176,,,,,,,
93,2161,,0.09388578683137894,0.25653237104415894,0.048002760857343674,0.8117896318435669,0.0,0.9444444179534912,0.8076862096786499
93,2161,0.06125595048069954,,,,,,,
94,2184,,0.0935225635766983,0.2531746029853821,0.048349641263484955,0.8111759424209595,0.0,0.9444444179534912,0.8037290573120117
94,2184,0.05112177133560181,,,,,,,
95,2207,,0.0935225635766983,0.24676434695720673,0.06453939527273178,0.7726459503173828,0.02874894253909588,0.8333333134651184,0.7861903309822083
95,2207,0.05017814785242081,,,,,,,
